Force Input,Fx,Fy,Fz,Mx,My,Mz,Disturbance Force,Fx,Fy,Fz,Mx,My,Mz,Velocity,Lx,Ly,Lz,Ax,Ay,Az,Distance,front,left,right
,-1.6733695937753377,-60.2800588534567,-90.95689209930178,21.1603219090321,-24.141914246104516,29.52853495699714,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07996148975240991,-0.14254631702392734,0.0,0.0,0.0,0.32944649753550803,, 0.0910386, 0.260943, 0.371679
,-1.6733695937753377,-60.2800588534567,-90.95689209930178,21.1603219090321,-24.141914246104516,29.52853495699714,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07996148975240991,-0.14254631702392734,0.0,0.0,0.0,0.32944649753550803,, 0.0863551, 0.264859, 0.367871
,5.566403753872604,-62.47489679929245,-97.70439625880819,20.44104801559618,-25.04239480737895,31.174422768003605,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07608958755966862,-0.17616755683432503,0.0,0.0,0.0,0.3531949266422652,, 0.0863551, 0.264859, 0.367871
,5.566403753872604,-62.47489679929245,-97.70439625880819,20.44104801559618,-25.04239480737895,31.174422768003605,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07608958755966862,-0.17616755683432503,0.0,0.0,0.0,0.3531949266422652,, 0.0830535, 0.267453, 0.365374
,20.876574972602835,-61.677641237185654,-102.76007938922142,19.187366095794772,-25.01294688593424,29.399933964198226,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07790599824429001,-0.20051548513751538,0.0,0.0,0.0,0.3697955802252635,, 0.0830535, 0.267453, 0.365374
,20.876574972602835,-61.677641237185654,-102.76007938922142,19.187366095794772,-25.01294688593424,29.399933964198226,,0.0,0.0,0.0,0.0,0.0,0.0,,0.07790599824429001,-0.20051548513751538,0.0,0.0,0.0,0.3697955802252635,, 0.0803118, 0.269519, 0.3634
,39.2983982574471,-55.73015562408568,-106.8889590314859,17.481652793249513,-24.63773810879719,23.967797061117636,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0885664491458887,-0.22414382341050576,0.0,0.0,0.0,0.3824936485565969,, 0.0803118, 0.269519, 0.3634
,39.2983982574471,-55.73015562408568,-106.8889590314859,17.481652793249513,-24.63773810879719,23.967797061117636,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0885664491458887,-0.22414382341050576,0.0,0.0,0.0,0.3824936485565969,, 0.0779751, 0.271014, 0.362015
,55.940625703387155,-50.75030185535031,-108.75711016783946,16.276445362906916,-24.133097939703173,20.888085299081936,,0.0,0.0,0.0,0.0,0.0,0.0,,0.11617654781828442,-0.25456557923171386,0.0,0.0,0.0,0.38499366607144236,, 0.0779751, 0.271014, 0.362015
,55.940625703387155,-50.75030185535031,-108.75711016783946,16.276445362906916,-24.133097939703173,20.888085299081936,,0.0,0.0,0.0,0.0,0.0,0.0,,0.11617654781828442,-0.25456557923171386,0.0,0.0,0.0,0.38499366607144236,, 0.0762011, 0.271982, 0.36115
,60.036856656760364,-45.463909517594125,-105.57954138811436,14.824034122662134,-23.38617973057085,23.230101876971602,,0.0,0.0,0.0,0.0,0.0,0.0,,0.156386071038724,-0.2830474469677638,0.0,0.0,0.0,0.3803819527946813,, 0.0762011, 0.271982, 0.36115
